segment_id,rf_proba,audio_proba,label
seg_00001,0.29,0.13,drone
seg_00002_noise,0.29,0.565,drone
seg_00004,0.215,0.105,drone
seg_00005,0.4640963203463203,0.185,drone
seg_00006,0.375,0.18,drone
seg_00007,0.155,0.135,drone
seg_00011,0.08,0.115,drone
seg_00012,0.03,0.11,drone
seg_00013,0.02,0.115,drone
seg_00015,0.095,0.12,drone
seg_00018,0.029558823529411766,0.115,drone
seg_00019,0.045,0.125,drone
seg_00021,0.055,0.17,drone
seg_00022,0.11,0.105,drone
seg_00025,0.02,0.165,drone
seg_00027,0.2686203891954691,0.19,drone
seg_00028,0.2209880952380952,0.17,drone
seg_00029,0.4250806451612903,0.195,drone
seg_00033,0.38845495009002823,0.205,drone
seg_00034,0.3183333333333333,0.195,drone
seg_00035,0.105,0.115,drone
seg_00036,0.13,0.215,drone
seg_00039,0.05,0.25,drone
seg_00040,0.4142880287538585,0.13,drone
seg_00041,0.5472369993560259,0.09,drone
seg_00042,0.7013383108840264,0.25,drone
seg_00043,0.48833557428802293,0.07,drone
seg_00044_noise,0.48833557428802293,0.375,drone
seg_00046,0.600209297336163,0.165,drone
seg_00047,0.7785557882785891,0.255,drone
seg_00048,0.6773639181573143,0.065,drone
seg_00049,0.567707296467842,0.1,drone
seg_00053,0.8222710486595417,0.07,drone
seg_00054,0.6797480791083191,0.105,drone
seg_00055,0.45493354430379745,0.07,drone
seg_00057,0.40940563426152093,0.09,drone
seg_00060,0.314875,0.16,drone
seg_00061,0.13,0.185,drone
seg_00063,0.045,0.16,drone
seg_00064,0.085,0.29,drone
seg_00067,0.095,0.07,drone
seg_00069,0.0725,0.02,drone
seg_00070,0.07920005136106831,0.065,drone
seg_00071,0.279912109542396,0.14,drone
seg_00075,0.115,0.125,drone
seg_00076,0.035,0.175,drone
seg_00077,0.07,0.055,drone
seg_00078,0.024657142857142857,0.07,drone
seg_00081,0.075,0.065,drone
seg_00082,0.06,0.06,drone
seg_00083,0.0303125,0.05,drone
seg_00084,0.235,0.17,drone
seg_00085,0.085,0.2,drone
seg_00086_noise,0.065,0.295,drone
seg_00088,0.08470588235294117,0.265,drone
seg_00089,0.30255003032140687,0.255,drone
seg_00090,0.205,0.245,drone
seg_00091,0.2942857142857143,0.12,drone
seg_00095,0.46347322087606235,0.155,drone
seg_00096,0.36715780622255445,0.175,drone
seg_00097,0.24035084033613444,0.095,drone
seg_00099,0.20375,0.15,drone
seg_00102,0.24,0.155,drone
seg_00103,0.45748402555910544,0.2,drone
seg_00105,0.4392616353084261,0.225,drone
seg_00106,0.225,0.275,drone
seg_00109,0.035,0.125,drone
seg_00111,0.105,0.165,drone
seg_00112,0.0503125,0.22,drone
seg_00113,0.075,0.165,drone
seg_00117,0.68,0.11,drone
seg_00118,0.6191238203397458,0.19,drone
seg_00119,0.8309187739324096,0.105,drone
seg_00120,0.6813664644449985,0.135,drone
seg_00123,0.7459301982532218,0.1,drone
seg_00124,0.36,0.205,drone
seg_00125,0.5966051587301587,0.11,drone
seg_00126,0.5950767908341438,0.085,drone
seg_00127,0.785,0.12,drone
seg_00128_noise,0.79,0.59,drone
seg_00130,0.7944230938063254,0.13,drone
seg_00131,0.485054920043002,0.25,drone
seg_00132,0.629029358630024,0.135,drone
seg_00133,0.045,0.235,drone
seg_00137,0.205,0.15,drone
seg_00138,0.025,0.07,drone
seg_00139,0.245,0.2,drone
seg_00141,0.24363636363636362,0.24,drone
seg_00144,0.146218820861678,0.2,drone
seg_00145,0.2497077922077922,0.235,drone
seg_00147,0.115,0.21,drone
seg_00148,0.24,0.31,drone
seg_00151,0.2084375,0.22,drone
seg_00153,0.04,0.235,drone
seg_00154,0.095,0.175,drone
seg_00155,0.1353125,0.295,drone
seg_00159,0.075,0.3,drone
seg_00160,0.075,0.13,drone
seg_00161,0.015,0.27,drone
seg_00162,0.07,0.13,drone
seg_00165,0.05,0.1,drone
seg_00166,0.02,0.32,drone
seg_00167,0.05,0.255,drone
seg_00168,0.045,0.22,drone
seg_00169,0.02,0.08,drone
seg_00170_noise,0.01,0.36,drone
seg_00172,0.085,0.135,drone
seg_00173,0.29878685773826436,0.3,drone
seg_00174,0.095,0.25,drone
seg_00175,0.02,0.125,drone
seg_00179,0.115,0.115,drone
seg_00180,0.05,0.155,drone
seg_00181,0.045,0.065,drone
seg_00183,0.05,0.075,drone
seg_00186,0.02,0.13,drone
seg_00187,0.035,0.43,drone
seg_00189,0.05,0.36,drone
seg_00190,0.035,0.19,drone
seg_00193,0.035,0.135,drone
seg_00195,0.04526315789473684,0.155,drone
seg_00196,0.015,0.425,drone
seg_00197,0.03,0.305,drone
seg_00201,0.065,0.395,drone
seg_00202,0.12,0.415,drone
seg_00203,0.11487179487179487,0.295,drone
seg_00204,0.015,0.23,drone
seg_00207,0.055,0.245,drone
seg_00208,0.04,0.175,drone
seg_00209,0.01,0.16,drone
seg_00210,0.07,0.17,drone
seg_00211,0.025,0.185,drone
seg_00212_noise,0.025,0.33,drone
seg_00214,0.025,0.165,drone
seg_00215,0.105,0.305,drone
seg_00216,0.04,0.085,drone
seg_00217,0.015,0.12,drone
seg_00221,0.035,0.19,drone
seg_00222,0.1246875,0.255,drone
seg_00223,0.07,0.29,drone
seg_00225,0.055,0.295,drone
seg_00228,0.085,0.24,drone
seg_00229,0.015,0.195,drone
seg_00231,0.08,0.045,drone
seg_00232,0.015,0.11,drone
seg_00235,0.14987179487179486,0.115,drone
seg_00237,0.015,0.205,drone
seg_00238,0.07,0.145,drone
seg_00239,0.025,0.095,drone
seg_00243,0.125,0.27,drone
seg_00244,0.005,0.235,drone
seg_00245,0.05,0.17,drone
seg_00246,0.02,0.14,drone
seg_00249,0.2963390763003766,0.185,drone
seg_00250,0.215,0.185,drone
seg_00251,0.20058823529411765,0.195,drone
seg_00252,0.025,0.245,drone
seg_00253,0.13416666666666666,0.2,drone
seg_00254_noise,0.1675,0.45,drone
seg_00256,0.2544031983998587,0.115,drone
seg_00257,0.04,0.045,drone
seg_00258,0.075,0.22,drone
seg_00259,0.08,0.185,drone
seg_00263,0.125,0.215,drone
seg_00264,0.6427743258387225,0.145,drone
seg_00265,0.3993427688216733,0.095,drone
seg_00267,0.45444444444444443,0.145,drone
seg_00270,0.2792668776371308,0.355,drone
seg_00271,0.13,0.24,drone
seg_00273,0.08,0.105,drone
seg_00274,0.1920806451612903,0.07,drone
seg_00277,0.15,0.19,drone
seg_00279,0.07,0.115,drone
seg_00280,0.085,0.09,drone
seg_00281,0.11459016393442623,0.185,drone
seg_00285,0.10435185185185185,0.07,drone
seg_00286,0.055,0.195,drone
seg_00287,0.055,0.255,drone
seg_00288,0.03558219178082192,0.29,drone
seg_00291,0.075,0.2,drone
seg_00292,0.03,0.33,drone
seg_00293,0.03,0.28,drone
seg_00294,0.035,0.34,drone
seg_00295,0.005,0.34,drone
seg_00296_noise,0.01,0.51,drone
seg_00298,0.065,0.315,drone
seg_00299,0.02,0.185,drone
seg_00300,0.03,0.305,drone
seg_00301,0.0105,0.235,drone
seg_00305,0.09,0.27,drone
seg_00306,0.06,0.275,drone
seg_00307,0.03,0.315,drone
seg_00309,0.045,0.215,drone
seg_00312,0.075,0.405,drone
seg_00313,0.08,0.125,drone
seg_00315,0.025,0.205,drone
seg_00316,0.115,0.255,drone
seg_00319,0.045,0.115,drone
seg_00321,0.05,0.205,drone
seg_00322,0.035,0.115,drone
seg_00323,0.09,0.225,drone
seg_00327,0.015,0.095,drone
seg_00328,0.02,0.17,drone
seg_00329,0.025,0.195,drone
seg_00330,0.04,0.095,drone
seg_00333,0.045,0.09,drone
seg_00334,0.055,0.19,drone
seg_00335,0.04,0.385,drone
seg_00336,0.09,0.185,drone
seg_00337,0.07,0.25,drone
seg_00338_noise,0.09388167388167389,0.375,drone
seg_00340,0.1945483682983683,0.465,drone
seg_00341,0.06,0.205,drone
seg_00342,0.03,0.27,drone
seg_00343,0.045,0.295,drone
seg_00347,0.3431914893617021,0.295,drone
seg_00348,0.21552732240437159,0.24,drone
seg_00349,0.205,0.365,drone
seg_00351,0.23742206527347784,0.21,drone
seg_00354,0.2789214821857622,0.2,drone
seg_00355,0.27975,0.265,drone
seg_00357,0.21953125,0.15,drone
seg_00358,0.5708603896103895,0.36,drone
seg_00361,0.24636363636363637,0.49,drone
seg_00363,0.35285714285714287,0.095,drone
seg_00364,0.3242957833815626,0.155,drone
seg_00365,0.3548525641025641,0.18,drone
seg_00369,0.49115991202653986,0.315,drone
seg_00370,0.28123845038720535,0.165,drone
seg_00371,0.6406818181818181,0.1,drone
seg_00372,0.2599875062468766,0.13,drone
seg_00375,0.13958523641741702,0.15,drone
seg_00376,0.21416666666666667,0.225,drone
seg_00377,0.27231872294372295,0.065,drone
seg_00378,0.24670103593989623,0.215,drone
seg_00379,0.08568181818181818,0.425,drone
seg_00380_noise,0.10494444444444444,0.615,drone
seg_00382,0.25,0.225,drone
seg_00383,0.20897619047619048,0.285,drone
seg_00384,0.17643678160919543,0.27,drone
seg_00385,0.21022136699507393,0.175,drone
seg_00389,0.025,0.335,drone
seg_00390,0.05,0.275,drone
seg_00391,0.03135714285714286,0.305,drone
seg_00393,0.0303125,0.135,drone
seg_00396,0.025,0.25,drone
seg_00397,0.04,0.395,drone
seg_00399,0.06821428571428571,0.25,drone
seg_00400,0.09,0.535,drone
seg_00403,0.055,0.74,drone
seg_00405,0.11,0.35,drone
seg_00406,0.075,0.32,drone
seg_00407,0.045,0.38,drone
seg_00411,0.055,0.465,drone
seg_00412,0.04484375,0.435,drone
seg_00413,0.055,0.385,drone
seg_00414,0.15,0.255,drone
seg_00417,0.015,0.245,drone
seg_00418,0.0,0.17,drone
