segment_id,modalitet_rf,label_rf,subset_rf,orig_file_rf,start_sec_rf,duration_rf,out_path_rf,modalitet_audio,label_audio,subset_audio,orig_file_audio,start_sec_audio,duration_audio,out_path_audio
seg_00001,rf,drone,train,data/rf\drone\rf_drone_outside.csv,0.0,1.0,segments\seg_00001\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,0.0,1.0,segments\seg_00001\audio\Audio_test_bymarka_2.wav
seg_00002_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,0.0,1.0,segments\seg_00002_noise\rf\rf_drone_outside_noise.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,0.0,1.0,segments\seg_00002_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00004,rf,drone,train,data/rf\drone\rf_drone_outside.csv,2.0,1.0,segments\seg_00004\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,1.0,1.0,segments\seg_00004\audio\Audio_test_bymarka_2.wav
seg_00005,rf,drone,train,data/rf\drone\rf_drone_outside.csv,3.0,1.0,segments\seg_00005\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,2.0,1.0,segments\seg_00005\audio\Audio_test_bymarka_2.wav
seg_00006,rf,drone,train,data/rf\drone\rf_drone_outside.csv,4.0,1.0,segments\seg_00006\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,3.0,1.0,segments\seg_00006\audio\Audio_test_bymarka_2.wav
seg_00007,rf,drone,train,data/rf\drone\rf_drone_outside.csv,5.0,1.0,segments\seg_00007\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,4.0,1.0,segments\seg_00007\audio\Audio_test_bymarka_2.wav
seg_00011,rf,drone,train,data/rf\drone\rf_drone_outside.csv,8.0,1.0,segments\seg_00011\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,6.0,1.0,segments\seg_00011\audio\Audio_test_bymarka_2.wav
seg_00012,rf,drone,train,data/rf\drone\rf_drone_outside.csv,9.0,1.0,segments\seg_00012\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,7.0,1.0,segments\seg_00012\audio\Audio_test_bymarka_2.wav
seg_00013,rf,drone,train,data/rf\drone\rf_drone_outside.csv,10.0,1.0,segments\seg_00013\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,8.0,1.0,segments\seg_00013\audio\Audio_test_bymarka_2.wav
seg_00015,rf,drone,train,data/rf\drone\rf_drone_outside.csv,11.0,1.0,segments\seg_00015\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,10.0,1.0,segments\seg_00015\audio\Audio_test_bymarka_2.wav
