segment_id,modalitet,label,subset,orig_file,start_sec,duration,out_path
seg_00001,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,0.0,1.0,segments\seg_00001\audio\Audio_test_bymarka_2.wav
seg_00002_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,0.0,1.0,segments\seg_00002_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00003_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,0.0,1.0,segments\seg_00003_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00004,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,1.0,1.0,segments\seg_00004\audio\Audio_test_bymarka_2.wav
seg_00005,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,2.0,1.0,segments\seg_00005\audio\Audio_test_bymarka_2.wav
seg_00006,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,3.0,1.0,segments\seg_00006\audio\Audio_test_bymarka_2.wav
seg_00007,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,4.0,1.0,segments\seg_00007\audio\Audio_test_bymarka_2.wav
seg_00008,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,5.0,1.0,segments\seg_00008\audio\Audio_test_bymarka_2.wav
seg_00009_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,5.0,1.0,segments\seg_00009_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00010_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,5.0,1.0,segments\seg_00010_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00011,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,6.0,1.0,segments\seg_00011\audio\Audio_test_bymarka_2.wav
seg_00012,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,7.0,1.0,segments\seg_00012\audio\Audio_test_bymarka_2.wav
seg_00013,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,8.0,1.0,segments\seg_00013\audio\Audio_test_bymarka_2.wav
seg_00014,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,9.0,1.0,segments\seg_00014\audio\Audio_test_bymarka_2.wav
seg_00015,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,10.0,1.0,segments\seg_00015\audio\Audio_test_bymarka_2.wav
seg_00016_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,10.0,1.0,segments\seg_00016_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00017_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,10.0,1.0,segments\seg_00017_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00018,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,11.0,1.0,segments\seg_00018\audio\Audio_test_bymarka_2.wav
seg_00019,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,12.0,1.0,segments\seg_00019\audio\Audio_test_bymarka_2.wav
seg_00020,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,13.0,1.0,segments\seg_00020\audio\Audio_test_bymarka_2.wav
seg_00021,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,14.0,1.0,segments\seg_00021\audio\Audio_test_bymarka_2.wav
seg_00022,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,15.0,1.0,segments\seg_00022\audio\Audio_test_bymarka_2.wav
seg_00023_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,15.0,1.0,segments\seg_00023_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00024_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,15.0,1.0,segments\seg_00024_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00025,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,16.0,1.0,segments\seg_00025\audio\Audio_test_bymarka_2.wav
seg_00026,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,17.0,1.0,segments\seg_00026\audio\Audio_test_bymarka_2.wav
seg_00027,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,18.0,1.0,segments\seg_00027\audio\Audio_test_bymarka_2.wav
seg_00028,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,19.0,1.0,segments\seg_00028\audio\Audio_test_bymarka_2.wav
seg_00029,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,20.0,1.0,segments\seg_00029\audio\Audio_test_bymarka_2.wav
seg_00030_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,20.0,1.0,segments\seg_00030_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00031_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,20.0,1.0,segments\seg_00031_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00032,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,21.0,1.0,segments\seg_00032\audio\Audio_test_bymarka_2.wav
seg_00033,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,22.0,1.0,segments\seg_00033\audio\Audio_test_bymarka_2.wav
seg_00034,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,23.0,1.0,segments\seg_00034\audio\Audio_test_bymarka_2.wav
seg_00035,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,24.0,1.0,segments\seg_00035\audio\Audio_test_bymarka_2.wav
seg_00036,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,25.0,1.0,segments\seg_00036\audio\Audio_test_bymarka_2.wav
seg_00037_noise,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,25.0,1.0,segments\seg_00037_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00038_pitch,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,25.0,1.0,segments\seg_00038_pitch\audio\Audio_test_bymarka_2_pitch.wav
seg_00039,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,26.0,1.0,segments\seg_00039\audio\Audio_test_bymarka_2.wav
