segment_id,modalitet,label,subset,orig_file,start_sec,duration,out_path
seg_00001,rf,drone,train,data/rf\drone\rf_drone_outside.csv,0.0,1.0,segments\seg_00001\rf\rf_drone_outside.csv
seg_00002_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,0.0,1.0,segments\seg_00002_noise\rf\rf_drone_outside_noise.csv
seg_00003,rf,drone,train,data/rf\drone\rf_drone_outside.csv,1.0,1.0,segments\seg_00003\rf\rf_drone_outside.csv
seg_00004,rf,drone,train,data/rf\drone\rf_drone_outside.csv,2.0,1.0,segments\seg_00004\rf\rf_drone_outside.csv
seg_00005,rf,drone,train,data/rf\drone\rf_drone_outside.csv,3.0,1.0,segments\seg_00005\rf\rf_drone_outside.csv
seg_00006,rf,drone,train,data/rf\drone\rf_drone_outside.csv,4.0,1.0,segments\seg_00006\rf\rf_drone_outside.csv
seg_00007,rf,drone,train,data/rf\drone\rf_drone_outside.csv,5.0,1.0,segments\seg_00007\rf\rf_drone_outside.csv
seg_00008_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,5.0,1.0,segments\seg_00008_noise\rf\rf_drone_outside_noise.csv
seg_00009,rf,drone,train,data/rf\drone\rf_drone_outside.csv,6.0,1.0,segments\seg_00009\rf\rf_drone_outside.csv
seg_00010,rf,drone,train,data/rf\drone\rf_drone_outside.csv,7.0,1.0,segments\seg_00010\rf\rf_drone_outside.csv
seg_00011,rf,drone,train,data/rf\drone\rf_drone_outside.csv,8.0,1.0,segments\seg_00011\rf\rf_drone_outside.csv
seg_00012,rf,drone,train,data/rf\drone\rf_drone_outside.csv,9.0,1.0,segments\seg_00012\rf\rf_drone_outside.csv
seg_00013,rf,drone,train,data/rf\drone\rf_drone_outside.csv,10.0,1.0,segments\seg_00013\rf\rf_drone_outside.csv
seg_00014_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,10.0,1.0,segments\seg_00014_noise\rf\rf_drone_outside_noise.csv
seg_00015,rf,drone,train,data/rf\drone\rf_drone_outside.csv,11.0,1.0,segments\seg_00015\rf\rf_drone_outside.csv
